# id	left	top	right	bottom	texture_id
[SPRITES]

#INVISIBLE BLOCK
2	137	43	152	58	10

#GROUND
50010	112	128	127	143	30
50020	128	128	143	143	30
50030	144	128	159	143	30

#PINK BLOCK
51110	64	16	79	31	30
51120	80	16	95	31	30
51130	96	16	111	31	30

51210	96	96	111	111	30
51220	112	96	127	111	30
51230	128	96	143	111	30
51240	64	112	79	127	30
51250	144	112	159	127	30

51310	128	16	143	31	30
51320	144	16	159	31	30
51330	160	16	175	31	30
51340	96	128	111	143	30

#BLUE BLOCK
52110	128	64	143	79	30
52120	144	64	159	79	30
52130	160	64	175	79	30

52210	128	80	143	95	30
52220	144	80	159	95	30
52230	160	96	175	111	30
52240	80	112	95	127	30
52250	160	80	175	95	30

52310	16	128	31	143	30
52320	32	128	47	143	30

#WHITE BLOCK
53110	160	48	175	63	30
53120	0	64	15	79	30
53130	16	64	31	79	30

53210	80	64	95	79	30
53220	96	64	111	79	30
53250	112	64	127	79	30
53230	112	80	127	95	30
53240	144	96	159	111	30

#GREEN BLOCK
54110	0	48	15	63	30
54120	16	48	31	63	30
54130	32	48	47	63	30

54210	64	48	79	63	30
54220	80	48	95	63	30
54230	96	48	111	63	30

54310	48	128	63	143	30
54320	64	128	79	143	30
54330	80	128	95	143	30

#OUTTER SHADER
59001	112	16	127	31	30
59002	0	32	15	47	30

#PIPE
56011	160	0	175	15	30
56012	0	16	15	31	30

56021	32	16	47	31	30
56022	48	16	63	31	30	

